Company,Job Title,Description,Time Posted,Location,Image URL
Jawai Enterprises,Packaging Designer,"Packaging designer at Jawai Enterprises, creating food & beverage packaging designs.",9 days ago,"Mumbai, India",https://mir-s3-cdn-cf.behance.net/89a239d80b44e17af8272931ef529308/83079adc-4f44-4051-b0bc-bf15d5d4ed93_acc_180x180.jpg?h=338aef42156a6c0336a243760b1b5893
Service Devices,Графический дизайнер,Ищем Графического дизайнера в компанию г. Мытищи,9 days ago,Russian Federation,https://mir-s3-cdn-cf.behance.net/20795d9453bad6cdd33dc457fed29431/9766c031-4d37-48b0-b7b0-85ed448388a7_acc_180x180.png?h=679a73d28a6d3cadb0917c2d7d663d42
simp gifts,ui/ux designer,Looking for a innovative designer to redesign landing page and platform,9 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/28e9c4880f2933b1e6db87ab5b6e9686/f2c2cd43-e267-4989-bb93-1fc9d17fb732_acc_180x180.png?h=3cb71f539ccfcdadf65c16a09928fb0a
SHTONDA.DESIGN,"Graphic Designer (Full-Time, Remote) 🎨","Remote Graphic Designer for Banners, Brand Identity and Brochures",10 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/882213c52f2d8f78cafc20d2d0041e0e/83694278-9f55-4be5-80ce-094e9e43ce01_acc_180x180.png?h=325e705846bac2517ffbe5f03d515a72
Megamind Studios,Graphic Designer,Seeking a Graphic Designer to create stunning visuals for social media and brand campaigns,10 days ago,India,https://mir-s3-cdn-cf.behance.net/eca7ea4890daf0a826d443df5e3c3dc1/267d23e3-6d2b-4e2f-961c-30937d5dd3d6_acc_180x180.png?h=2cfc44494a22218dd637d3b572512c11
Студия дизайна Екатерины Девяшиной,Младший дизайнер,Мы ищем младшего дизайнера,10 days ago,"Москва, Russian Federation",https://mir-s3-cdn-cf.behance.net/57449441728def567722a89177b75a86/6e35fcb3-a8fc-4367-b32a-aff38880fbd7_acc_180x180.JPG?h=ba63700e19ff904073e6a6f46f23812f
KONIC GROUP,"POD DESIGNER (Fulltime, On-site)",KONIC TUYỂN DỤNG 02 POD DESIGNER Q9 HCM,10 days ago,"Ho Chi Minh City, Vietnam",https://mir-s3-cdn-cf.behance.net/6dbce377207fd74e318c0419b484e0db/88a5c920-3183-48e7-8003-ea26fd7729b3_acc_180x180.jpg?h=939652de3e5c0baa0428b0b654f197f9
Soccer Media Solutions,Animador 2D (Editor de video),"Editor de videos para contenido de TV, medios y publicidad",11 days ago,"Cuajimalpa de Morelos, Mexico",https://mir-s3-cdn-cf.behance.net/b102c0b1677fc89387aa33e1a73eb306/d5913c63-bebb-4c56-b177-63c856ec023b_acc_180x180.jpg?h=7e45e5c4fe49c496aef689063aea02c1
The LEGO Group,Concept Designer - LEGO DESiGN,Transform ideas into prototype models within our Adults franchises,11 days ago,Denmark,https://mir-s3-cdn-cf.behance.net/738ee9e4e56aca1c3fd3702b2204e5fc/09cef272-cad6-4a06-ab37-e16a59ee1bc4_acc_180x180.png?h=3ad7d3cf1d4e219a1d9c53cc2066d48e
36pt/Brandtender,¿Diseñador Junior y trabajo 100% remoto solo Colombia?,La mezcla que esperas está en 36pt/Brandtender.,11 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/6a12fd8caf5a4ccb3d54ee9520b1eafe/781b79dc-e33b-4791-bd94-6b39333ce701_acc_180x180.png?h=ba5ce80c1d73447b29b7fd60aca35d41
The LEGO Group,Product Designer - LEGO DESiGN,"Product Designers for complex, display-worthy models within our Adults franchises",11 days ago,Denmark,https://mir-s3-cdn-cf.behance.net/469e7b71148a28c10056dc5e48ea2ce5/eddad2c4-1bfd-485f-af41-a08168ac0d02_acc_180x180.png?h=1f257c7f084803b734d58891f703cdba
Solutions Wave,UI Designer,UI Designer - Expert in Adobe Tools & Figma,11 days ago,"Lahore, Pakistan",https://mir-s3-cdn-cf.behance.net/8ccbc2d6000e19e96fdde0fe15c32421/e0457e3f-1563-4e73-92c5-56f55d3d5e65_acc_180x180.png?h=0eb588826e665d740f69deb36f14fd72
Nuance Studio,Graphic Designer,Looking for a strong portfolio demonstrating creativity and premium branding.,11 days ago,"Bangalore, India",https://mir-s3-cdn-cf.behance.net/5e40eda95f12c7d5b9a7aa5d558b336c/b665f815-87f9-46fe-bbe0-d4a782f15859_acc_180x180.png?h=a98e6336634dbd4256e1495d82d3d7e9
Remotivate,Social Media Strategist,We seek a strategic and experienced Social Media Strategist.,11 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/abd43dadb96ae2ac81b7d821b69d7616/c4d9b053-a28a-4c6b-b43c-7390b2f1e54c_acc_180x180.jpg?h=f45b221818e146a68efeeda36d6bb665
Marvin Visual,3D exterior artist,Шукаємо креативного та талановитого 3D візуалізатора екстер'єрів,11 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/32a4a83e27c32cbfc0cebad6049172c8/b7b45456-e982-43a9-81ef-eee022dc1dc9_acc_180x180.jpeg?h=5334616329d9c6d4ba855abfdadfcaa9
Aurika Tech,Product Photography Internship,We are seeking a motivated and creative Product Photography Intern.,11 days ago,India,https://mir-s3-cdn-cf.behance.net/af2ae315706b7e99f2a5e99f60b74697/e0e12a3c-ad63-4c05-82e5-cea05fa6e091_acc_180x180.png?h=685415bc300724c5b561c0207e8e6c85
Vivi5 Studios,Motion Graphic Designer,We're looking for Mid-Level Motion graphic designer with 2D character animation experience,11 days ago,"Bangalore, India",https://mir-s3-cdn-cf.behance.net/6cbefdb0eca84b5b52ea87d883a3d1bf/0e7da7ee-d283-4a5a-89bb-cf3bbb274795_acc_180x180.jpg?h=6b008a1300dd70dc4826e92637423292
SAVA META,UI/UX Designer (Web/Mobile/VR application),UI/UX Designer (Web/Mobile/VR application),11 days ago,Vietnam,https://mir-s3-cdn-cf.behance.net/b0268ba6761e4a0d3dd5ab97c3dfff49/b36b2c56-b474-47b1-901f-abbd16e9073e_acc_180x180.jpg?h=1d56baa27154a037f976c9d47ccd74e5
SAVAŞ GRUP A.Ş,İş Veren,Video Düzenleme ve Animasyon Uzmanı İş İlanı,11 days ago,Turkey,https://mir-s3-cdn-cf.behance.net/21e051ee73a13bdd039ecea4b992adda/6768417f-87fe-4b00-98e8-543a65d6b8f2_acc_180x180.jpg?h=788d044b400c8e10ceea83d14ad9a6fb
Firstcry.com,Product Stylist,We are looking for creative Product stylist for our team,11 days ago,"Pune, India",https://mir-s3-cdn-cf.behance.net/910e2769e604835d7b0aac7d4730585e/c45123f5-c0f3-470a-aa3d-9d859c5a9463_acc_180x180.jpg?h=a8e45860c0c9879c2d1796c6b8f64e7d
Network Singapore,Cinematic Video Editor,We are looking for a skilled video editor to produce social media ads & content,11 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/6fd0b1ed82b4b0878d9c625411469ab4/16ea7050-dbd3-4e4b-9577-193487cd82a1_acc_180x180.png?h=74efa060d3f6c140d746bb1eaf18649f
The Bubblegum Co.,Video Editor,We are looking for a full time video editor willing to learn and grow with us!,12 days ago,"Kolkata, India",https://mir-s3-cdn-cf.behance.net/a1b260f90eeb55c1a1441ef887bda119/4ca9531d-8e47-4720-b17d-e99ec55172e2_acc_180x180.png?h=444c5cc82935eebd6a81405dbd7c24d3
Studio Unabridged,Junio Graphic Designer,Looking for a Junior Graphic Designer to craft compelling engaging social media designs.,12 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/caab2058b71837f666fd73b92c1e6fd8/83a33d20-7024-4bb6-82c1-ddb24286e784_acc_180x180.jpg?h=4d84970a3f44c27e8f7537b8a5969025
Taroko Software,Senior UI/UX Designer,To drive a big rebranding effort as we expand our product offerings beyond legal forms,12 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/f050f319c2637093501d5c19ca3c96a9/c1962406-9ac6-46fe-a4f5-71300b171dc9_acc_180x180.png?h=6e81b1a338fe8a7cb275e87da214f7b0
Glam,UX Designer Web,Мы ищем UX Designer Web в приложение Glam AI,12 days ago,"Tbilisi, Georgia",https://mir-s3-cdn-cf.behance.net/aa73af83a13085fc46196280bac387c1/8fa947dd-026b-4d87-8b37-507cda819c24_acc_180x180.png?h=d1dd132a402253734e241d872c6b1530
Salecha Lifestyle LLP,graphic designer,Graphic Designer needed! Photoshop/Illustrator skills a must. Apply now!,12 days ago,"Mumbai, India",https://mir-s3-cdn-cf.behance.net/a39f3c047e7609ccd8f207daef06d3de/65c795ee-5ab3-48d2-8b49-9825dd747a96_acc_180x180.png?h=1828dcec276fabf39cae902f5d338ccc
SD Solutions,Senior UI/UX Designer,Looking for a UI/UX Designer specializing in eCommerce for the jewelry and home decor,12 days ago,Colombia,https://mir-s3-cdn-cf.behance.net/aee918f9ff02010fd00778371051fc1f/f5e691c8-0a2e-4b13-b30a-20746eef135d_acc_180x180.png?h=2d25e6dedd4046aea67ef3d52f6da1b0
Apex Web Network,Creative Brand Designer ( Graphics and Media),"We are actively looking to engage an experienced creative brand designer,",12 days ago,"Lagos Island, Nigeria",https://mir-s3-cdn-cf.behance.net/65cd562684367543be36c646b3dc75ee/a0e64473-fb77-491b-b55c-8a361240924a_acc_180x180.png?h=e4eb826331e2d04d2b7454ada7b728d8
Infinite Plus,Graphic Designer,We are looking for a Graphic Designer to join our friendly team.,12 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/9516cfbdc01edab4650642178fa2d973/58bedb7b-7ff5-47b5-9308-573ad2774aa1_acc_180x180.png?h=a1f030f85d4ab0f6bd1b37da451b3888
Alestra Solutions,Pitch deck Designer (Night Shift),Pitch deck designer required for night shift,12 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/2fa36c0729beb0019630cdaf1c4a401a/af5f1678-61d8-404c-9a53-e2345df16ccb_acc_180x180.jpg?h=96de3ced9a193f264954e5d8a3d3cfc5
K events,Graphic Designer 3D,We are looking for a 3D Graphic Designer with a solid experience in the event industry.,12 days ago,"Casablanca, Morocco",https://mir-s3-cdn-cf.behance.net/15c9a61b002106500df2b8f565ed7067/18d0eab6-75eb-428c-85df-52191aed6e71_acc_180x180.jpeg?h=764f9ab2c50e1a5553c1225cef42c9fb
Scalehub Marketing,Graphic Designer,We are looking for a Creative & skilled Graphic Designer,12 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/3dd8b9602b2f1ab8c09a3c783c94d063/785331bf-1430-44e9-9e93-e1b5e34df4c4_acc_180x180.png?h=92702dac98420c4185915b7b21782f5f
Oryx Village,Videographer,We are looking for a Videographer cum Editor with experience using video editing tools,12 days ago,"Kanhangad, India",https://mir-s3-cdn-cf.behance.net/acb8c964a3bf81b79ab67b2d4a964987/ae184b91-c597-4a3d-b9e4-4f4e8b37f518_acc_180x180.png?h=d09cdc02920a0d1683ed335457bd5fea
TUT Ecommerce Company,graphic designer,we are looking for creative designer with corporate experience,13 days ago,"Cairo, Egypt",https://mir-s3-cdn-cf.behance.net/59bc4a130f74172c819de669623ca882/7190b1db-8be0-4a64-9a42-a219d3e0a069_acc_180x180.png?h=aa3503566f6751a27eb62129d2e7d916
Charit Studio,3D Motion Graphic Designer,We are looking for a 3D Motion Graphic Designer specialised in 3D Animation and Rendering,13 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/3e3c163eefd633fe1cd8e657254b8ff0/f8c3d345-6cb3-4689-ade2-f663f946d9d3_acc_180x180.png?h=933c9eeb16687d4b916deb221d5cdc01
IClimb,UI/UX Designer,We are looking for a experienced UI/UX Designer,13 days ago,"New Delhi, India",https://mir-s3-cdn-cf.behance.net/5465b4fcb981cb9af3c7880a36ba4271/2208b3cf-0b67-4eaa-acf8-9267b2786607_acc_180x180.png?h=90203dfade53743541b23f8455ad80f0
wooing,UI/UX Designer,🎨 UI/UX Designer Wanted: Help Us Build Something Truly Meaningful!,13 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/e2aee49c597d7a78383b586600bc8c83/c092ef6e-7a3b-4228-99f8-727cf81900cc_acc_180x180.png?h=4cfdaacb41460646dc4729e0e9809fa5
Leeford Healthcare Limited,Graphic Designer,Graphic Designer - 4yrs,13 days ago,"Ludhiana, India",https://mir-s3-cdn-cf.behance.net/53786cc7e0f11ca36396364dab5728d0/3010e39b-3ec2-44c2-8809-df687f0c7ce9_acc_180x180.png?h=dc36851736e19f72b1224743c1a98df0
Black Pepper Events.com,Senor 3d Designer,We are looking for Senior 3d Designer,13 days ago,India,https://mir-s3-cdn-cf.behance.net/d08fbbe800735dbb60d15ad2d02b904a/931e98fa-2cf1-453f-af54-d4299be94e9b_acc_180x180.png?h=2f46509835fb3e6abf795d0f544a47dc
Vera Interior,Graphic Designs & Video Editor,Remote Graphic Designer & Video Editor is needed for an interior design company in Riyadh,13 days ago,"Cairo, Egypt",https://mir-s3-cdn-cf.behance.net/971bd1f3cf62828fa4b608199954229d/13daec27-a5e0-4a99-a3b9-1c7f21981208_acc_180x180.png?h=8a0c43e815041436a2f6e877a973aaeb
SAVAS GRUP İNŞAAT,Dijital Tasarımcı: Grafik ve UI/UX Uzmanlığı,Savaş Grup A.Ş. Grafik Tasarım Uzmanı Arıyor !,13 days ago,Turkey,https://mir-s3-cdn-cf.behance.net/39f2bf97a56a372dc4bded3d142ff3a3/c4e99112-2216-4f8d-8b41-f8308c106454_acc_180x180.jpg?h=304da4354413a74b8ef1323b32952e56
Công ty TNHH Thương mại và XNK Hà Lương,Nhân viên thiết kế đồ họa,Chúng tôi tuyển dụng 1 nhân viên thiết kế làm Partime 3 ngày/ tuần,13 days ago,Vietnam,https://mir-s3-cdn-cf.behance.net/ef8c2dc31947cbb18a5d1f76e3f7bcbe/658dcbbe-1ba8-4e05-9dc0-8b76ca54c165_acc_180x180.jpg?h=45fc90c6a103b71bcb5a41447db630a3
Logo&Co,CGI / MOTION GRAPHICS VIDEO EDITOR,We are looking for a CGI / Motion graphic video editor,13 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/fd5db20161364843c30b8b97f6a4e0bf/8551cf31-7226-4cf5-b924-4b71024d1eac_acc_180x180.jpg?h=a0c6c67d46a8ef096afe1936d16446b6
ThunderClap,Sr. Motion Designer,We're seeking a Sr.Motion Designer to bring websites to life through innovative animations,13 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/b9b89f2d32352d1a4e02bd0bb96c5779/44b832f7-ef89-4cae-a0d5-2be5ee10b19d_acc_180x180.png?h=883fd70a30ea5fd1ec0c281c08eb8c3c
Lost Ferry Interactive,UX & Graphic Designer,Looking for Graphics & UI/UX designers to join us on contract or FT basis,13 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/569c3be1378ad975065ffdad5fa12bb1/d9d4bd69-dc3d-43b5-9cdf-66cb0caf6c98_acc_180x180.png?h=4ed6adf5269ab390066d11b35cc6341d
Refine Interior Design,Videographer,We are looking for a talented Videographer,13 days ago,"Dubai, United Arab Emirates",https://mir-s3-cdn-cf.behance.net/84365db40c2fd50ec36bf1dfb484925a/e4234334-906f-4486-91ab-eae923b768b1_acc_180x180.jpeg?h=372b2af1f8528b7e7f6ecc3a3d38c245
Suhaus Designs,Social Media Manager- Media Promotions,Social Media Rockstar Wanted!,13 days ago,"New Delhi, India",https://mir-s3-cdn-cf.behance.net/ba7e4d9288337c8e8d5040de06dd4123/c632d31b-55af-4743-978f-be7c90c46d2a_acc_180x180.png?h=016a2125d2ac64ebdfe96d4b352f9853
Scalpers,Fashion Graphic Designer,Estamos buscando un/a diseñador/a gráfica de prenda para el Dpto de Producto,13 days ago,"Sevilla, Spain",https://mir-s3-cdn-cf.behance.net/4d21d913c5b11b5d42f475b130219991/573d24ef-537c-4e40-8de5-5855a7bee674_acc_180x180.png?h=b57eb5ad859d0c2163ee1ea21cca9ece
Camouflage Studios,Talented 3D Visualization Artist/Architect Urgently Needed,3D Visualization Artists/Architects are needed due to rapid expansion,13 days ago,"Cairo, Egypt",https://mir-s3-cdn-cf.behance.net/13901f3f357d4e5c0a87b877812e695b/d867734f-3736-415d-a753-f61b4cdc9760_acc_180x180.png?h=94a129b87b036fbc2514abe03e64790e
Camouflage,3D Visualization Team Leader,Team Leader 3D Visualization Artists/Architects are needed due to rapid expansion,13 days ago,"Cairo, Egypt",https://mir-s3-cdn-cf.behance.net/64d123eef3598f22f80fe5c8bb9effb8/47ec8498-e932-447c-9b61-28c18d50f38b_acc_180x180.png?h=7f2fe31cb23d6da18c10899d576d349a
Camouflage Studios,Talented 3D Visualization Artist/Architect needed due to rapid expansion,Talented 3D Visualization Artist/Architect needed due to rapid expansion,13 days ago,"Cairo, Egypt",https://mir-s3-cdn-cf.behance.net/47f92cd372e89cad71b381fd5bcc851e/32560861-0878-46c8-96b2-9a5588005969_acc_180x180.png?h=d8799f33b96ca3eca5861090a96db7b0
Camouflage-studios,Full-time/Part-time 3D Artist,We are looking for Full-time/Part-time 3D Artist Proficiency in 3D Modeling,13 days ago,"Cairo, Egypt",https://mir-s3-cdn-cf.behance.net/69c798e98f0da14a31474fae42a99c7d/b67b595a-fde3-4520-b9dd-3f93f2eff4fb_acc_180x180.png?h=023158a88ba8804f9bd503826292d143
Fetch Technology Vietnam,2D Concept Artist,2D Concept Artist - $1400 Net,15 days ago,"Ho Chi Minh City, Vietnam",https://mir-s3-cdn-cf.behance.net/a5c486fb424ed98ec015481b75900540/ad387c4a-b077-44d9-af0b-097ec2f4e246_acc_180x180.png?h=89232b4dfb485a6fd4db5e653b138d8a
Fetch Technology,2D Animator (Spine),HCM - 2D Animator (Fulltime) - $1400 Net,15 days ago,"Ho Chi Minh City, Vietnam",https://mir-s3-cdn-cf.behance.net/66c4c53711d223cc6adc46a733fceda8/62e1622e-c002-4550-a14e-da08507ae55c_acc_180x180.png?h=f7282d23b7f9c9657bdc4407966c4d5d
Latam Management Recruitment,DISEÑADOR INDUSTRIAL BILINGUE,"Se busca un Industrial designer bilingual - freelance,para una empresa de EEUU.",16 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/4ffa3c807f9c8dbbf5a4314f40b54b49/54d61973-4c94-437f-ba25-7b641146524b_acc_180x180.png?h=ed10f8c139e3d8492906843bfca808e9
Remedia,Diseñador (a) grafico de comunicación,Buscamos Diseñador(a) de Comunicación para unirse a nuestro equipo.,16 days ago,Mexico,https://mir-s3-cdn-cf.behance.net/dc303a3bd53ea828cee9222347d6c17f/e653eeba-7e70-4650-a864-d29462871b9f_acc_180x180.png?h=44eac183e32b18b71fba0afab781640a
Truffle Bay GmbH,SENIOR BRAND DESIGNER (w/m/d),"SENIOR BRAND DESIGNER (M/F/D) We're hiring - effective immediately, on a permanent basis",16 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/e6fb25675ae7c55129f3bdd673808967/9198e093-a1d5-4861-bc01-955ce80d2df8_acc_180x180.jpg?h=51713e1759607b2d1971a8cdbb0a469b
Kaizen Hogar,Community Manager-Filmmaker,Buscamos Community Manager-Filmmaker,16 days ago,"Santo Domingo Este, Dominican Republic",https://mir-s3-cdn-cf.behance.net/93c8e8e1df7f16a22c33175ce3c0101c/b42aea5d-a120-467b-8fe8-ad20d93927a3_acc_180x180.jpg?h=dec2ed693393847f943fa11ae1fb46ee
Brand & Bread,Graphic Designer,We are looking for Sr Graphic Designer with 2+ years agency experience.,16 days ago,"Ahmedabad, India",https://mir-s3-cdn-cf.behance.net/2f8286cabf383a62d469abf46fdaba6f/5f3c3aee-d991-4243-84ed-65c33c4760a6_acc_180x180.png?h=14b0dad309ea22a3912bec839b7acf64
Network Singapore,Website Designer/Graphic Designer,We are looking for a website designer that has a strong ability in graphic design,16 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/8e3fe4f998f06e251c80e8084b2164aa/9efdbb1e-0fbb-4af3-bff7-aecd2abd250b_acc_180x180.png?h=f77151c32c57cf5f3b9f52e0920f905b
Team Pumpkin,Marketplace Creative Designer,Designer for Marketplace Creatives A+ / Gallery Infographics,16 days ago,"New Delhi, India",https://mir-s3-cdn-cf.behance.net/e0b5f510881f590f4651a5647a39e4a9/46e045d2-4c8f-41ad-adc7-715f08e14f99_acc_180x180.jpg?h=480f1d91c79d8fb3d253dff90170c8d9
Optimite,Head of Design,"As our Head of Design, you will drive design strategy, enhance team capabilities in Figma",16 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/31a8ca1a7688912592c6c3e789544b71/b5b8951e-2f34-4553-9d10-d80fa37ff2d2_acc_180x180.png?h=2e4daf08793cbe9296ab99fea90d2e8d
Marvin Visual,VR Developer(Unreal Engine),We are looking for a VR Developer in Unreal Engine,16 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/8eca10f2042db6b92b2a7f6318e3572b/0a013dc5-c49a-4393-8ec6-4897f147892c_acc_180x180.jpeg?h=fd8644c3f3f1b901d2fa3f2bc25ccaea
Sydney Harbour Federation Trust,Design and Marketing Officer,"Join our dynamic Marketing team at the Harbour Trust in 2025, and unleash your creativity!",16 days ago,"Mosman, Australia",https://mir-s3-cdn-cf.behance.net/252d895da365d7cf342d7e16388b0ed3/6d8431df-164c-4a9f-a206-aaf14448eb3f_acc_180x180.jpg?h=3e1c0aed078eae7147b28b7bc05c614e
Nfinite,Junior AI Image Generation Specialist,We are looking for creative skilled artists to create AI-based interior visuals (remote),16 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/a1063e6df26573c90379bad640fe83f4/d62047e9-f5aa-4fbf-a60c-8e0ddb291e1c_acc_180x180.png?h=4eaf6fda4d9248e88fd4e5f872644a4f
Diana Danieli Home,СММ-менеджер,Мы ищем СММ-менеджера в компанию на ведение всех наших соц.сетей,16 days ago,"Москва, Russian Federation",https://mir-s3-cdn-cf.behance.net/d8748e40b75fa9543b7afe8c8f01eae0/79b97f3b-c08f-4b20-99e4-6785ad0a47bf_acc_180x180.jpg?h=83e80364cc5ac488ba3011bf24658165
Diana Danieli Home,Фотограф-видеограф,Ищем фотографа-видеографа в штат компании,16 days ago,"Москва, Russian Federation",https://mir-s3-cdn-cf.behance.net/5ea00b1c771ba935f4fa35beb9d7709b/2cb547ce-b554-4b58-9b05-a802a5c1bd2c_acc_180x180.jpg?h=be51043da2bb55c1eedb5ec4eea3cecd
Arnatdes,Junior Transportation designer,"Transportation Designer with knowledge in Photoshop, Alias and Blender",16 days ago,India,https://mir-s3-cdn-cf.behance.net/44e3d627e41100a257332d0f1ae06b2a/d8e520ed-ca47-4734-8c92-509339a340d9_acc_180x180.png?h=7af6bc2d3bbf0f07ca1f9235f247db67
Arnatdes Mobility Design solution LLP,Junior 3d Animator (blender),We are hiring Animators with good skills in blender. Freshers can also apply,16 days ago,India,https://mir-s3-cdn-cf.behance.net/660acca4238e827dc3daece6b9bae5de/0fa3916f-40a1-4161-adc3-eabe041f7dfa_acc_180x180.png?h=91b9aad4d25c3a21809d7ecc378b7bb7
Поток,Коммуникационный дизайнер,Мы ищем коммуникационного дизайнера в отдел маркетинга.,17 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/915e0b42d1e37d057fa6804fcbbe60f2/ff2fbe0e-cb1d-4713-bcc2-51b9e0303c01_acc_180x180.jpg?h=84af1d44564b5837face426a698daf9f
The Brand Brew,Video Editor,We are seeking a creative and detail-oriented Video Editor.,17 days ago,"New Delhi, India",https://mir-s3-cdn-cf.behance.net/e8c6e56992ab1abf020c775f70c6ae33/ae229fba-43dd-4baa-a2a9-1784c2d98f3c_acc_180x180.jpg?h=cf317dfb5ff022eb01018d63e0b70068
Công ty Cổ phần Truyền thông và Quảng cáo MIC Creative,Video Editor,[Cầu Giấy - HN] Tuyển dụng Video Editor_ 06 tháng kinh nghiệm,17 days ago,Vietnam,https://mir-s3-cdn-cf.behance.net/36dfcda77c3885692cacb6f3ed7d2ce6/9c7ae46c-466a-4588-b372-5e104176e57e_acc_180x180.jpg?h=c1857ca6960d6772df6714b04db9e7e3
BananaCrystal Inc.,Ruby on Rails Backend Developer,We are looking for exceptional Ruby on Rails Backend Developer to join our team.,17 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/3f44281ae4f2ffdd914cf1a54f8816c1/be036de9-2e76-4932-bd1f-a50678d680ff_acc_180x180.png?h=32e955bed0121d51f375b2b9bc60935b
VadeCom,Graphic Designer (Identity & Social Media Design),seeking a talented Graphic Designer with experience in brand identity and social media,17 days ago,Egypt,https://mir-s3-cdn-cf.behance.net/843480da07bd87ed2e65cc86bc14a049/91b5197f-8ddd-4117-bfa6-e579783b1023_acc_180x180.png?h=f92e49bad5c861e702a24ea39c2fc488
BananaCrystal Inc,Quality Assurance,We are looking for an exceptional Quality Assurance personnel to join our team.,17 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/72f8409ba7b942b32f550f25c6274e23/4b055ac3-d1ac-475e-a5e5-7ec43f255e08_acc_180x180.png?h=9f208757839d239367d8b96dd174c93d
BananaCrystal,Content Creator / Video Editor / Graphics Designer,We are looking for exceptional Content Creator/Graphics Designer to join our growing team.,17 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/7cad1dda6f82c938d05769f5328b3755/7e159fd4-2d94-4331-85ff-ab61162c682e_acc_180x180.png?h=72a89b46463016228f25c43e306b2e1b
Minzona,Graphic Designer - Printing,Print Designer possesses a deep understanding of printing standards and design principles,17 days ago,"Alexandria, Egypt",https://mir-s3-cdn-cf.behance.net/f1e1f525bd515fefa3b54890462ba767/c8996ab1-c211-4c60-9a73-d5b56b13f41b_acc_180x180.png?h=5f63905370421dd14c00ea57010c7d35
Triveous Technoologies,Junior UX/UI designer,We are looking for a Junior UX/UI designer for our team.,17 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/8481562482b6fffb186da057de918866/b60f7dc8-9536-4c4c-825c-1c9ed6ab1d38_acc_180x180.png?h=73a5b4ee6aea32f3e9fa843b8544b84d
Metron Security,Hiring Graphic Designer from IT domain,2-4 years of experience in IT domain,17 days ago,India,https://mir-s3-cdn-cf.behance.net/b5cd6ef2b99956b6e92d5cafb50637c5/47ed26ac-7f93-4547-857b-c17ac399eedb_acc_180x180.png?h=0ce9001683074e0ec21cf0590bd52802
BH Complete Solutions,Graphic Design Specialist (e-commerce),Creative Graphic Designer to join our team and help elevate our Amazon product listings.,18 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/33cc00091b6729667904ebb8f938bf96/09b38e3b-19d9-4bc1-8ac4-ec568118855a_acc_180x180.jpg?h=734c8de4fee6771079ec63c66a0cea6a
Anagram,Diseñador Multimedia,Buscamos a un experto en diseño multimedia,18 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/c99dfc743936601393ebfcc5fba4b0ec/889867a0-d990-420d-943e-062cf246ec6f_acc_180x180.png?h=8a4a33580995e6583234771ec2f86127
DALCATECH,Analista de Marketing,Procuramos por um profissional com experiência em tráfego pago e edição de vídeo,18 days ago,"Curitiba, Brazil",https://mir-s3-cdn-cf.behance.net/f3c7131ac8e25796e1bc1cd7608362d6/b01d9473-393c-4874-a3b0-1c6a4eb4520f_acc_180x180.jpg?h=3f532c7b32561fa07d9b5f4c495cb815
ЦЕХ,Графический дизайнер (junior+/middle),"ЦЕХ ищет классных графических дизайнеров, влюбленных в дизайн, как и мы!",18 days ago,Anywhere,https://mir-s3-cdn-cf.behance.net/64f82211a0b1e5c350bfe46b6de91c54/26a67beb-873b-427f-93bb-03c9039feee3_acc_180x180.jpg?h=407cea2075e7b4941459d6b11caf1dd3
Boolanga,Sportswear and Apparel Designer,We are looking for a skilled Apparel And Sportswear Designer to join our team!,18 days ago,"Budapest, Hungary",https://mir-s3-cdn-cf.behance.net/767e864f1c74de0002ca99a47d5a996f/d1fd6343-ba52-4356-a304-2273d3171d8d_acc_180x180.png?h=de95fdfff518dafa66cda16bb469a0c5
